PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,Status,Experiment,Self-model,Cross-model
1.0,2-6 SiaLac,105.0,1.81,0.029,3.092,459.5730918499353,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.035,3.704,346.3822894168466,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.032,3.376,309.5379146919431,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.542,758.7548638132296,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.019,1.632,852.3284313725491,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.558,1173.940949935815,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.623,703.0191004313001,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.016,1.384,314.3063583815029,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.59,287.42138364779873,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.493,823.1748158070998,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.018,1.388,1248.5590778097983,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.018,1.426,960.0280504908836,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.02,1.56,317.3076923076923,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.463,224.8803827751196,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.476,301.49051490514904,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.253,1410.2154828411813,190.0,Conserved,Binder,Binder,Binder
